ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2017-En-10331,need new outlet rage,1,0,1,0,0,0,0,0,0,0,0
2017-En-21898,arguing people doesnt work anyway threaten put death camps,1,0,1,1,0,0,0,0,0,0,0
2017-En-10398,sister throws legitimate temper tantrums get attention,1,0,1,0,0,0,0,0,0,0,0
2017-En-40975,hrmanagement must discourage expediency factor encroaching rolling credible workplaceviolenceprevention policy,1,0,1,0,0,0,1,0,0,0,0
2017-En-30811,fucking bright amp fucking hot outside,1,0,1,0,0,0,0,0,0,0,0
2017-En-10004,dont join btcare put phone talk rude taking money acc willynilly fuming,1,0,1,0,0,0,0,0,0,0,0
2017-En-11599,dont offendednim something thatngives life hurtsnn haikuchallenge poetry,1,0,1,0,0,0,0,0,1,0,0
2017-En-11573,azerbaijan baku azerbaijan prevent another armenian provocation russia,1,0,0,0,0,0,0,0,0,0,0
2017-En-11250,strike upon thee great vengeance furious anger attempt poison destroy brothers,1,0,1,0,0,0,0,0,0,0,0
2017-En-21706,hey papajohnsuk ive charged credit card order never arrived last friday chance refund,1,0,1,0,0,0,0,0,1,0,0
2017-En-40612,quite sure craig gordons stayed park,0,1,0,0,0,0,0,0,0,0,0
2017-En-10642,one month til someones bday think time flaunt got something pretty awesome revenge,1,1,0,0,1,0,0,0,0,0,0
2017-En-21541,shriekfest lining volunteers oct serious inquiries please shriekfestaolcom see free films horror,0,1,0,1,0,0,0,0,0,0,0
2017-En-11635,makes things easier compact less fiery burdened weight sexuality one releases transmutation,0,1,0,0,1,0,1,0,0,0,0
2017-En-10738,stutteringgiant least character fast furious pumped adrenaline franchise thats,0,1,0,0,0,0,1,0,0,0,0
2017-En-40668,rickygervais first time slough checked new station floor lifeontheroad,0,1,0,0,1,0,0,0,0,0,0
2017-En-30990,ruthwalford may right since year bad events begin b im privately hoping weve got least cz go st,0,1,0,0,0,0,1,0,0,0,0
2017-En-40629,new job training much meat eating oh well also got approved drive lyft need car day sober,0,1,0,0,1,0,1,0,0,0,0
2017-En-20207,aninews pakistan stop cross border terrorism really need solution kashmirissue narendramodi sir india act,1,1,0,1,0,0,1,0,0,0,0
2017-En-40218,doe run opposite side,0,1,0,0,0,0,0,0,1,0,0
2017-En-30556,riggs dumb ass hell lolol lethalweapon,1,0,1,0,1,0,0,0,0,0,0
2017-En-30880,metal keeps young spry keeps hair luxuriousnnyesnnshut listen,1,0,1,0,1,0,1,0,0,0,0
2017-En-20589,farting hot car windows dont roll terrible gag bresadvice,1,0,1,0,0,0,0,0,1,0,0
2017-En-11146,pro tip go back work kid reaches mos old stay home longer youll absolutely miserable,1,0,1,0,0,0,0,0,1,0,0
2017-En-40336,feels grim nails done,0,0,1,0,0,0,0,0,1,0,0
2017-En-20758,meruna musician tell people get discouraged learning shitty instruments anything else,1,0,1,0,0,0,0,0,0,0,0
2017-En-10527,thomeagle help maintain boost status world class centre education culture tolerance outrage,1,0,1,0,0,0,0,0,1,0,0
2017-En-41079,wonder wolfcreek tv show sponsored antitourist board australia discourage visitors stayathome dontvisit,1,0,1,0,0,0,0,0,0,0,0
2017-En-11066,dont like pineapple eat pizza lose sting get cooked,0,0,1,0,0,0,0,0,0,0,0
2017-En-11311,bell bellsupport cancelling home fibe internet tv afternoon soon arrange alternate internet fedup,1,0,1,0,0,0,0,0,1,0,0
2017-En-22088,im walking ball stress anxiety lol,0,0,0,1,0,0,0,0,0,0,0
2017-En-11018,killed spider big sprayed spider guts like horror movienugh revenge,1,1,1,1,0,0,0,1,0,0,0
2017-En-21681,heavyheart last couple days cause fear losing someone close amerikkka kkkops terencecrutcher,0,0,0,1,0,0,0,0,1,0,0
2017-En-22065,anxiety right,0,0,0,1,0,0,0,1,1,0,0
2017-En-20296,guardianaus paulkarp maybe support muslim immigration cos perceive risk islamist ideology amp terrorism high,0,0,0,1,0,0,0,0,0,0,0
2017-En-21867,mistanightmare dont understand u videos every week spend time family instead working horror takeabreak,1,0,1,1,0,0,0,0,0,0,0
