ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2017-En-10331,Need a new outlet for #rage,1,0,1,0,0,0,0,0,0,0,0
2017-En-21898,"Arguing with these people doesn't work anyway, they just threaten to put you in death camps.",1,0,1,1,0,0,0,0,0,0,0
2017-En-10398,When your sister is 19 and throws legitimate temper tantrums just to get attention..,1,0,1,0,0,0,0,0,0,0,0
2017-En-40975,#HRmanagement must discourage the expediency factor from encroaching on the rolling out of a credible #workplaceviolenceprevention policy.,1,0,1,0,0,0,1,0,0,0,0
2017-En-30811,It is too fucking bright &amp; too fucking hot outside,1,0,1,0,0,0,0,0,0,0,0
2017-En-10004,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",1,0,1,0,0,0,0,0,0,0,0
2017-En-11599,"Don't be offended,\nI'm just doing something that,\nGives your life more hurts.\n\n #haikuchallenge  #poetry",1,0,1,0,0,0,0,0,1,0,0
2017-En-11573,#Azerbaijan #Baku Azerbaijan to prevent another Armenian provocation in Russia,1,0,0,0,0,0,0,0,0,0,0
2017-En-11250,and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers,1,0,1,0,0,0,0,0,0,0,0
2017-En-21706,"Hey @PapaJohnsUK I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!! ",1,0,1,0,0,0,0,0,1,0,0
2017-En-40612,No quite sure how Craig Gordon's stayed on the park there !!,0,1,0,0,0,0,0,0,0,0,0
2017-En-10642,one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge,1,1,0,0,1,0,0,0,0,0,0
2017-En-21541,"Shriekfest is lining up VOLUNTEERS! Oct 6-9, only serious inquiries please!  shriekfest@aol.com  see free films!  #horror",0,1,0,1,0,0,0,0,0,0,0
2017-En-11635,This makes things easier and compact and less fiery or burdened by the weight of sexuality. One releases in the transmutation,0,1,0,0,1,0,1,0,0,0,0
2017-En-10738,@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,0,1,0,0,0,0,1,0,0,0,0
2017-En-40668,@rickygervais my first time in Slough so checked out the new station floor  #LifeOnTheRoad,0,1,0,0,1,0,0,0,0,0,0
2017-En-30990,"@ruthwalford95 you may be right, but since year the bad events begin with B, I'm privately hoping we've got at least C-Z to go 1st ",0,1,0,0,0,0,1,0,0,0,0
2017-En-40629,New job training= too much meat eating! Oh well. Also- got approved to drive for Lyft! Just need a car... #day35 #sober,0,1,0,0,1,0,1,0,0,0,0
2017-En-20207,"@ANI_news #Pakistan should stop cross border #terrorism if they really need solution for #KashmirIssue. @narendramodi sir, #India should act",1,1,0,1,0,0,1,0,0,0,0
2017-En-40218,When you have 15 doe run the opposite side of you 🙁 ,0,1,0,0,0,0,0,0,1,0,0
2017-En-30556,Riggs dumb ass hell lolol  #LethalWeapon,1,0,1,0,1,0,0,0,0,0,0
2017-En-30880,Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,1,0,1,0,1,0,1,0,0,0,0
2017-En-20589,Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice,1,0,1,0,0,0,0,0,1,0,0
2017-En-11146,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .",1,0,1,0,0,0,0,0,1,0,0
2017-En-40336,Feels grim not having your nails done,0,0,1,0,0,0,0,0,1,0,0
2017-En-20758,"@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",1,0,1,0,0,0,0,0,0,0,0
2017-En-10527,"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",1,0,1,0,0,0,0,0,1,0,0
2017-En-41079,I wonder if the #wolfcreek TV show is sponsored by the anti-tourist board of Australia to discourage visitors? #stayathome #dontvisit,1,0,1,0,0,0,0,0,0,0,0
2017-En-11066,"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",0,0,1,0,0,0,0,0,0,0,0
2017-En-11311,"@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2  #fedup",1,0,1,0,0,0,0,0,1,0,0
2017-En-22088,I'm a walking ball of stress and anxiety lol,0,0,0,1,0,0,0,0,0,0,0
2017-En-11018,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,1,1,1,1,0,0,0,1,0,0,0
2017-En-21681,"#heavyheart these last couple of days, who are the cause of this  #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher",0,0,0,1,0,0,0,0,1,0,0
2017-En-22065,The anxiety I have right now😭😭😭,0,0,0,1,0,0,0,1,1,0,0
2017-En-20296,@GuardianAus @Paul_Karp Maybe 49% support no #Muslim immigration cos they perceive the risk of #Islamist ideology &amp; #terrorism as too high?,0,0,0,1,0,0,0,0,0,0,0
2017-En-21867,@Mista_Nightmare i dont understand why u do videos every week spend time with your family instead of working on horror #takeabreak,1,0,1,1,0,0,0,0,0,0,0
2017-En-21765,@wittyneeraj What is Shehla Rashid &amp; Kaniyah Kumar saying about you ? and when they say truth indians threaten them. #FakeDemocracy,0,0,1,1,0,0,0,0,0,0,0
2017-En-40226,I have no clue where my charger is... #lost,0,0,0,1,0,0,0,0,1,0,0
2017-En-30799,@LaurenBrierley2 sparkling water = death,0,0,0,1,0,0,0,1,0,0,0
2017-En-20409,"@jade0208 unfortunately the diet is still on, so they will have to wait till Friday I'm afraid.",0,0,0,1,0,0,0,0,1,0,0
2017-En-30255,I'm so playful. lol I need somebody that'll joke with me all day long cause ill never get tired of it.,0,0,0,0,1,1,1,0,0,0,0
2017-En-22184,The Pats are awesome. Belichick is awesome ...they just are. #awestruck,0,0,0,0,1,1,0,0,0,0,0
2017-En-22019,Beginning the process to see if working is an option. #mentalhealth #complexptsd ,0,0,0,0,1,0,0,0,1,0,0
2017-En-40552,"I'm onto you, @Sargon_of_Akkad, I know you secretly pine for a masculine order, objective morality, and disciplined transcendent pursuits.",0,1,0,0,1,0,0,0,0,0,0
2017-En-11332,@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,0,0,0,0,1,0,0,0,0,0,0
2017-En-41428,lost 11 lbs since I got married (eating healthy) &amp; ive gone from a 9:47 mile to a 8:50 mile in 2 weeks. #areyousureimagedout #fitness,0,0,0,0,1,0,1,0,0,0,0
2017-En-10844,@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol,0,0,0,0,1,0,1,0,0,1,0
2017-En-30640,backed pats -2.5 10/11 just before #pleasing,0,1,0,0,1,0,1,0,0,0,1
2017-En-30645,"GKN so lively as well, mad quick",0,0,0,0,1,0,1,0,0,0,0
2017-En-30013,My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay ,0,0,0,0,1,1,1,0,0,0,0
2017-En-41179,@phil500 \nSo sadden \nSpunky a beautiful dog\nA sad story a lovely happy\nAn loved dog \nPlay little one have fun you\nare so loved,0,0,0,0,1,1,1,0,1,0,0
2017-En-10652,"also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)",0,0,0,0,1,1,1,0,0,0,0
2017-En-30028,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  ",0,0,0,0,1,1,1,0,0,0,0
2017-En-30907,#GBBO can cheer me up ☺️,0,0,0,0,1,1,1,0,0,0,0
2017-En-21138,i've been rooting for him since the beginning  #BB18,0,1,0,0,0,1,0,0,0,0,1
2017-En-30954,I just want to let everyone out there know you are wonderful people! #beyourself   #late-night #compliment #behappy,0,0,0,0,1,1,1,0,0,0,0
2017-En-21412,this girl at my new school is so pretty i am ,0,1,0,0,1,1,1,0,0,0,1
2017-En-22081,@mcrichard awe that's adorable,0,0,0,0,1,1,1,0,0,0,0
2017-En-30757,noah fence but i want a harley quinn or blake lively layout,0,0,0,0,1,1,1,0,0,0,0
2017-En-30579,@Devilligan It's a beautifully sincere balancing act of grief and hilarity.,0,0,0,0,1,1,1,0,0,0,0
