tweet_id,sentiment,content
1962827535,empty,"gor i am soo bored, man i don't think i could get any more bored"
1753254884,empty,Is @ the pantry
1963750715,empty,I want a fake BLT....
1965295852,empty,"I just put my computer up on craigslist. I've had the same case, monitor, and speakers for over 5 years."
1962235394,empty,@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them
1963409963,empty,Just came back from school.... Packing for my dad's house
1753820444,empty,@Donny_B if you're in leeds you can have one from me
1960426224,empty,Hoping I hear something soon about Krystles surgery
1963647690,empty,Woke up... cleaned... Aunt Emmas... Walmart.. Commissary... Now its time for a nap!!!.. then off to work
1753256885,empty,"@capricorn_one ok, I realise your up early because you've joined the cult of mac, nvm"
1961892785,sadness,"Boys are sitting down for photos, no touching and no handshakes allowed.  #asylm"
1961749720,sadness,: why is it so cold!?!?!
1966129930,sadness,"@AwkwardTown I know. I think I'm going to have to miss it, though.  This is when sacrificing money for job happiness sucks ass."
1960751051,sadness,ughhh have a tummy ache
1964387125,sadness,"When you FEEL you can not LIVE without something is when IT is taken away.   Oh, to do it all over again with what I know now.    Movin ON"
1751466189,sadness,gosh! i'm freakin' bored! talk to me!
1957249452,sadness,"@kesoleil Oh man, Did Yogg today. Worse than last week."
1960820637,sadness,i need to get my life together aka my apartment all cleaned and back how it was before my birthday
1964210995,sadness,came online for a big cause. ruined
1694493269,sadness,"@Zobi09 Haha yes I do  it's hard work, too! I didn't get home until 3:00 AM, not like I sleep haha."
1695002255,enthusiasm,is upload video geje di youtube  http://plurk.com/p/rqaoe
1751287788,enthusiasm,@labelladeanna whatsoever do you mean by 'how I get down' lol I'm always sober
1961909603,enthusiasm,Stood outsiden got the WORST butterflies everrrrr!
1751249451,enthusiasm,@chaosandharmony Where are you at the mo Becks??  Guessing it's you.  Met you Tga WBW when you spoke there last yr. Business or holiday?
1962069581,enthusiasm,"my mouth is sore  I have to wear these stupid retainers so my teeth don't go crooked!...in other news, I got a new swimsuit for laps!"
1963474741,enthusiasm,@rachelgirl5 I can't go to the grocery store on an empty stomach. That's trouble! I wanna see ur show but not sure ill get to  let u kno
1695478035,enthusiasm,"@JGDemas Hey Muffin, good morning to you! Grt textin wif ya last night"
1694458351,enthusiasm,Don't let the sun catch you crying - Oh my.. so cool  http://tinyurl.com/cugy8c
1695249907,enthusiasm,"@tamij Have a good day.  I'm checking out Hugh today. Also, be on lookout for best &quot;cassoulet&quot; recipe you will have ever tasted!"
1752321198,enthusiasm,Think i'm going to go down to the lobby in a while to get either Starbucks or.. perhaps some ice cream
1753822419,neutral,"@sojanjose4u it's working now,IT'S OKAY!"
1752774291,neutral,@noesh leyendo
1964083264,neutral,"@eincline that's me right now, all I can do is stare at everyone else working on thier laptops"
1694436949,neutral,@videogareth yet...
1960124303,neutral,"Academy Rector with tons of tutors looks like the way to go, since all the good Trix draw engines and mana accel is gone."
1960994113,neutral,My bum hurts.
1963157158,neutral,"im backkkk!!!!!!!! hungry as hell, havent ate today"
1695080386,neutral,@cUtEgUrLie Boring? What?! Ugh!!!  come back to of then!
1751987396,neutral,@eridge I was just thinking that
1964208986,neutral,People eight years my junior can't understand most of my references
