Chapter_Number,Chapter_English,Hadith_number,English_Hadith,English_Grade
8.0,Prayers (Salat),349,"Narrated Abu Dhar: Allah's Messenger (ﷺ) said, ""While I was at Mecca the roof of my house was opened and Gabriel descended,opened my chest, and washed it with Zamzam water. Then he brought a golden tray full of wisdomand faith and having poured its contents into my chest, he closed it. Then he took my hand andascended with me to the nearest heaven, when I reached the nearest heaven, Gabriel said to thegatekeeper of the heaven, 'Open (the gate).' The gatekeeper asked, 'Who is it?' Gabriel answered:'Gabriel.' He asked, 'Is there anyone with you?' Gabriel replied, 'Yes, Muhammad I is with me.' Heasked, 'Has he been called?' Gabriel said, 'Yes.' So the gate was opened and we went over the nearestheaven and there we saw a man sitting with some people on his right and some on his left. When helooked towards his right, he laughed and when he looked toward his left he wept. Then he said,'Welcome! O pious Prophet and pious son.' I asked Gabriel, 'Who is he?' He replied, 'He is Adam andthe people on his right and left are the souls of his offspring. Those on his right are the people ofParadise and those on his left are the people of Hell and when he looks towards his right he laughs andwhen he looks towards his left he weeps.'Then he ascended with me till he reached the second heaven and he (Gabriel) said to its gatekeeper,'Open (the gate).' The gatekeeper said to him the same as the gatekeeper of the first heaven had saidand he opened the gate. Anas said: ""Abu Dhar added that the Prophet (ﷺ) met Adam, Idris, Moses, Jesusand Abraham, he (Abu Dhar) did not mention on which heaven they were but he mentioned that he(the Prophet (ﷺ) ) met Adam on the nearest heaven and Abraham on the sixth heaven. Anas said, ""WhenGabriel along with the Prophet (ﷺ) passed by Idris, the latter said, 'Welcome! O pious Prophet and piousbrother.' The Prophet (ﷺ) asked, 'Who is he?' Gabriel replied, 'He is Idris."" The Prophet (ﷺ) added, ""I passedby Moses and he said, 'Welcome! O pious Prophet and pious brother.' I asked Gabriel, 'Who is he?'Gabriel replied, 'He is Moses.' Then I passed by Jesus and he said, 'Welcome! O pious brother andpious Prophet.' I asked, 'Who is he?' Gabriel replied, 'He is Jesus.Then I passed by Abraham and he said, 'Welcome! O pious Prophet and pious son.' I asked Gabriel,'Who is he?' Gabriel replied, 'He is Abraham. The Prophet (ﷺ) added, 'Then Gabriel ascended with me to aplace where I heard the creaking of the pens."" Ibn Hazm and Anas bin Malik said: The Prophet (ﷺ) said,""Then Allah enjoined fifty prayers on my followers when I returned with this order of Allah, I passedby Moses who asked me, 'What has Allah enjoined on your followers?' I replied, 'He has enjoinedfifty prayers on them.' Moses said, 'Go back to your Lord (and appeal for reduction) for your followerswill not be able to bear it.' (So I went back to Allah and requested for reduction) and He reduced it tohalf. When I passed by Moses again and informed him about it, he said, 'Go back to your Lord as yourfollowers will not be able to bear it.' So I returned to Allah and requested for further reduction andhalf of it was reduced. I again passed by Moses and he said to me: 'Return to your Lord, for yourfollowers will not be able to bear it. So I returned to Allah and He said, 'These are five prayers andthey are all (equal to) fifty (in reward) for My Word does not change.' I returned to Moses and he toldme to go back once again. I replied, 'Now I feel shy of asking my Lord again.' Then Gabriel took metill we '' reached Sidrat-il-Muntaha (Lote tree of; the utmost boundary) which was shrouded in colors,indescribable. Then I was admitted into Paradise where I found small (tents or) walls (made) of pearlsand its earth was of musk.""",Sahih-Authentic
8.0,Prayers (Salat),350,"Narrated `Aisha: the mother of believers: Allah enjoined the prayer when He enjoined it, it was two rak`at only (inevery prayer) both when in residence or on journey. Then the prayers offered on journey remained thesame, but (the rak`at of) the prayers for non-travelers were increased.",Sahih-Authentic
8.0,Prayers (Salat),351,"Narrated Um `Atiya: We were ordered to bring out our menstruating women and veiled women in the religious gatheringsand invocation of Muslims on the two `Id festivals. These menstruating women were to keep awayfrom their Musalla. A woman asked, ""O Allah's Messenger (ﷺ) ' What about one who does not have a veil?""He said, ""Let her share the veil of her companion.""",Sahih-Authentic
8.0,Prayers (Salat),352,"Narrated Muhammad bin Al-Munkadir: Once Jabir prayed with his Izar tied to his back while his clothes were Lying beside him on a woodenpeg. Somebody asked him, ""Do you offer your prayer in a single Izar?"" He replied, ""I did so to show itto a fool like you. Had anyone of us two garments in the lifetime of the Prophet?""",Sahih-Authentic
8.0,Prayers (Salat),353,Narrated Muhammad bin Al Munkadir: I saw Jabir bin `Abdullah praying in a single garment and he said that he had seen the Prophet (ﷺ) prayingin a single garment.,Sahih-Authentic
8.0,Prayers (Salat),354,Narrated `Umar bin Abi Salama: The Prophet (ﷺ) prayed in one garment and crossed its ends.,Sahih-Authentic
8.0,Prayers (Salat),355,Narrated `Umar bin Abi Salama: I saw the Prophet (ﷺ) offering prayers in a single garment in the house of Um-Salama and he had crossedits ends around his shoulders.,Sahih-Authentic
8.0,Prayers (Salat),356,"Narrated `Umar bin Abi Salama: In the house of Um-Salama I saw Allah's Messenger (ﷺ) offering prayers, wrapped in a single garmentaround his body with its ends crossed round his shoulders.",Sahih-Authentic
8.0,Prayers (Salat),357,"Narrated Abu Murra: (the freed slave of Um Hani) Um Hani, the daughter of Abi Talib said, ""I went to Allah's Messenger (ﷺ) inthe year of the conquest of Mecca and found him taking a bath and his daughter Fatima was screeninghim. I greeted him. He asked, 'Who is she?' I replied, 'I am Um Hani bint Abi Talib.' He said,'Welcome! O Um Hani.' When he finished his bath he stood up and prayed eight rak`at while wearinga single garment wrapped round his body and when he finished I said, 'O Allah's Messenger (ﷺ) ! My brotherhas told me that he will kill a person whom I gave shelter and that person is so and so the son ofHubaira.' The Prophet (ﷺ) said, 'We shelter the person whom you have sheltered.' "" Um Hani added, ""Andthat was before noon (Duha).",Sahih-Authentic
8.0,Prayers (Salat),358,"Narrated Abu Huraira: A person asked Allah's Messenger (ﷺ) about the offering of the prayer in a single garment. Allah's Messenger (ﷺ)replied, ""Has every one of you got two garments?""",Sahih-Authentic
